,sentiment,content
0,1,howie d awww glad know little sweet leigh good thanks update howie
1,0,chelseapiersnyc tiny cc seem load thinking going batting cage apparently gotta book adv
2,0,listening to sweet talk cute aim considering taking gameboy color again miss chiptune
3,1,xlesseyx good cup cake
4,1,iamiadam he away longer me im away hour
5,1,happy mother day u milfs there
6,1,wearing exactly clothes used wear canada beanie or touque all ahh brings back memory miss snow
7,1,davechapman new baby exciting congrats advance
8,0,went cd store search cd
9,1,mileycyrus cool aww
10,1,typezero hehe until come back fb friend get twitter respite huh jk
11,1,rx nice submit failblog org
12,1,rainbowsuicide show show me
13,1,sanazypoo omg hahaha thought joking twittering that hahaha awesome good time
14,1,girlygirl well done happy ya
15,1,sun shining driving lesson
16,1,kiitzyy think hahah geez lady hour ago go bed lack sleep bad skin
17,0,ccnkaddict know fall right pm time like right middle day
18,1,reemski might get around it sure make flat html wordpress fun fun fun
19,1,play first game apple apple wish luck
20,1,feeling higher mt everest
21,1,lea ada franco working again woo hoo ala unable obtain elita daughter
22,0,cant sleeeeep amp miss long hairrr
23,1,welcome doeko really glad know here product rox man
24,1,yaayy cannot wait today girl gotta get dressed early going early
25,0,madly love row wishing money
26,0,plier blow face today mistake killed wrong breaker wire connected plier boom big chunk gone
27,0,underdog gonna say probably kill ya serve sentence living insurance cash now insured right lol
28,0,adriandanganan clay aiken get autograph
29,1,gfalcone haha cry xx
30,0,headache killing yet need cover boring police event
31,0,jmorgan getting another one there s alfie
32,0,xjakexchaosx playing st pete sold month im trying go orlando one live st pete lol
33,0,ankita gaba take shadez away day shadez twpp
34,1,queenkak oh thank thank you hoping video online
35,0,good mood mama s away si can t talk either boy can t see weekend planned
36,0,upset friday night cry
37,0,im tired responsabilities wish kid seems everyone around money anymore
38,1,yes today star war day may th you
39,0,working freakin computer trying save stuff harddrive seems failed miserably
40,0,suncito hi there got comp early last nite saw u feeling well hope u r better
41,0,can t fix it guess write get bored watch tv man lame
42,1,viviann s minee yummm
43,0,much day off foot place day
44,0,fieldnotes ordered th still arrived week still book
45,1,want info ecomonday check http tinyurl com cpve amp follow ecomonday like followfriday green amp monday
46,0,jus skinned knee wat hurt lyke hell tho always tha little one hurt tha most
47,1,birthday girl house tweet tweet suckas
48,1,jt nigerianboi thanks jt also enjoyed will r u following me ill follow u back
49,0,sigh last day work sadifying heartparts
50,1,two week extension contract ready done
51,0,miguellf want ot protect moleskineï¿½ notebook worldwide all
52,1,finally gone beach yeaaaah
53,1,going watch two david yey
54,0,mourning miss homesssssskooooler fair today
55,0,friday treating well far
56,0,ugh beat stupid song get next rude
57,1,raining
58,1,nlouisem thanks
59,1,guten morgen good morning
60,0,pristina hide berry like slave regularly today caught massa amp im def light enough juice pouring slave
61,1,fifth runner keg kirsten devonshire hannah darian fiona amp phillipa
62,1,davidarchie hey david wondering received letter song it malaysia please reply nice day
63,1,katiesol re entered brain orbit thanks watching ryan reynolds mugging away quot just friend quot recently
64,1,kyleandjackieo body tom novy voodoo child rogue trader good memory song
65,0,sandy b shes bad sort lot pain
66,1,oh man great nap still alittle tired pizza dinner
67,1,migrating sybase ase sparc sun solaris based solaris x based fun
68,1,omg supernatural good news week
69,1,followed great super mazembe one favorite around http blip fm jkbp
70,0,niqa miss too mojokins go there long enough comment weekend
71,1,listening mcr watching dvd s chocolate hehe awesome
72,0,dougiemcfly great show doug fun im sorry wont watch
73,1,enjoy laker game guy since work
74,0,realised able talk crazy cat sunday sad now
75,1,beer pong am jess
76,0,kaliie sorry lol about waitt think mum would still let bday stuff weekend
77,0,thenewbradie tv working wanna watch vhits
78,0,im contacting paw philippine find quot tiger quot new owner im sad love dog soo much
79,0,neeshababyyy guy retarded
80,0,stood curler burnt burnt hand picked up
81,1,watching video facebook make feel like biggest creep guess am also tweet woohoo
82,0,bigcitysomeone wish could go see ya warped sure tho
83,0,karleemay kelly horror movie obsessed esp campy s film troma wish work tomorrow
84,0,wow serious hard time sleeping decongestant keeping wide awake wanna sleep
